ID;Zona Urbana/Rural;Usuário;Você tem título de eleitor e vota em Itaíba?;Em qual localidade você mora?;Sexo;Idade;Escolaridade;Renda da Família;Vamos começar a pesquisa. Por favor, reflita. Neste ano, 2024, terá eleição para Prefeitura de Itaíba. Você já tem candidato?;Se sim, quem?;Considerando opções, se os candidatos forem estes, em quem você votaria?;E, considerando estas diferentes opções, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;Na sua opinião, qual seria o candidato a vice-prefeito ideal para Rogéria Martins?;Mudando de assunto. Na sua opinião, a Prefeita de Itaíba, Regina da Saúde, está realizando uma administração:;5 ̊) De um modo geral, você aprova ou desaprova a gestão da Prefeita de Itaíba, Regina da Saúde?;Em relação ao Governo Estadual, a governadora Raquel Lyra, está realizando uma administração:;Em relação ao Governo Federal, o presidente Lula, está realizando uma administração:;Agora, sobre as dificuldades do dia a dia, na sua opinião, qual é o principal problema de Itaíba?;Agora, avalie cada área do município entre ótimo, bom, regular, ruim ou péssimo: Saúde;Educação;Segurança;Limpeza;Calçamento/Estradas;Iluminação Pública;Assistência Social/Ação Social;Transporte (Carro da Saúde/Escolar);Lazer (Festas, Incentivo a Cultura, Esportes);Agricultura (Apoio ao Produtor Rural);Abastecimento de Água;Na sua opinião, qual obra ou ação você gostaria que fosse realizada pelo próximo prefeito(a) de Itaíba?;Ainda sobre política, reflita. Qual o vereador mais atuante/que mais trabalha por Itaíba?;Para cada um desses nomes, diga se VOTARIA COM CERTEZA, PODERIA VOTAR, NÃO VOTARIA DE JEITO NENHUM ou NÃO CONHECE O SUFICIENTE PARA OPINAR: Rogéria Martins;Pedro Pilota;Valdo do Pipa;Por último, reflita. Você votaria num candidato(a) apoiado pela atual prefeita Regina da Saúde?
193;Zona Urbana;Luís ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;;Regular;Aprova;Regular;Regular;Estradas/Calçamento/Asfalto;Bom;Bom;Bom;Ruim;Péssimo;Bom;Bom;Ótimo;Bom;Bom;Regular;Calçamento de Ruas;Não sabe/Não respondeu;Poderia votar;Poderia votar;Não votaria de jeito nenhum;Depende do candidato
200;Zona Urbana;Luís ;Sim;Centro;Feminino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Regular;Aprova;Regular;Boa;Limpeza;Bom;Regular;Péssimo;Péssimo;Péssimo;Péssimo;Péssimo;Regular;Péssimo;Regular;Péssimo;Melhorias no Hospital;Nenhum;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Depende do candidato
204;Zona Urbana;Luís ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;;Péssima;Desaprova;Boa;Boa;Geração de Emprego e Renda;Ótimo;Bom;Ótimo;Bom;Péssimo;Regular;Bom;Ótimo;Ruim;Bom;Ótimo;Investir mais em saneamento;Nenhum;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
209;Zona Urbana;agatha ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Péssima;Desaprova;Péssima;Péssima;Administração;Regular;Regular;Péssimo;Regular;Péssimo;Não sabe/Não respondeu;Péssimo;Regular;Regular;Péssimo;Regular;Drenagem do Canal;Nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
210;Zona Urbana;agatha ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Regular;Desaprova;Boa;Ótima;Geração de Emprego e Renda;Bom;Bom;Bom;Ruim;Péssimo;Bom;Bom;Péssimo;Péssimo;Péssimo;Péssimo;Atrair empresas e gerar empregos;Nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
211;Zona Urbana;agatha ;Sim;Centro;Feminino;16 a 24 anos;Até a faculdade ou mais;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Ruim;Desaprova;Boa;Regular;Educação;Regular;Ruim;Péssimo;Ruim;Péssimo;Regular;Ruim;Péssimo;Péssimo;Ruim;Regular;Calçamento de Ruas;Nenhum;Não votaria de jeito nenhum;Poderia votar;Votaria com certeza;Não votaria
215;Zona Rural;Andrynnes ;Sim;Sítio Lagoinha;Feminino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;;Regular;Desaprova;Não sabe/Não respondeu;Boa;Abastecimento de Água;Regular;Bom;Regular;Bom;Ruim;Regular;Péssimo;Ruim;Péssimo;Regular;Péssimo;Melhorias e novos postos de saúde;Nenhum;Poderia votar;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
216;Zona Rural;Andrynnes ;Sim;Sítio Salgadinho;Masculino;34 a 44 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Ótima;Abastecimento de Água;Bom;Bom;Regular;Bom;Regular;Bom;Bom;Bom;Bom;Bom;Ruim;Calçamento de Ruas;Nenhum;Não votaria de jeito nenhum;Poderia votar;Poderia votar;Sim, votaria
217;Zona Rural;Andrynnes ;Sim;Sítio Salgadinho;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Pedro Pilota;;Regular;Desaprova;Boa;Boa;Estradas/Calçamento/Asfalto;Bom;Bom;Ruim;Bom;Ruim;Bom;Ruim;Bom;Bom;Regular;Ruim;Calçamento de Ruas;Nenhum;Não votaria de jeito nenhum;Poderia votar;Poderia votar;Depende do candidato
218;Zona Rural;Andrynnes ;Sim;Sítio Salgadinho;Masculino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Ótima;Lazer;Bom;Bom;Bom;Bom;Regular;Bom;Bom;Ótimo;Bom;Regular;Regular;Incentivo a esportes;Cláudio de Jirau;Poderia votar;Votaria com certeza;Poderia votar;Depende do candidato
219;Zona Rural;Andrynnes ;Sim;Sítio Salgadinho;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Rogéria Martins;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Ruim;Boa;Estradas/Calçamento/Asfalto;Ótimo;Bom;Bom;Bom;Ruim;Bom;Bom;Bom;Regular;Regular;Bom;Calçamento de Ruas;Cláudio de Jirau;Poderia votar;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
220;Zona Rural;Andrynnes ;Sim;Sítio Salgadinho;Feminino;45 a 59 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;;Regular;Aprova;Péssima;Ótima;Geração de Emprego e Renda;Regular;Bom;Ruim;Bom;Ruim;Bom;Regular;Bom;Regular;Regular;Ruim;Calçamento de Ruas;Jorge do Cachorro Quente;Poderia votar;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
223;Zona Rural;Riquinho ;Sim;Povoado Jirau;Feminino;16 a 24 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Ruim;Ótima;Segurança;Bom;Bom;Ruim;Bom;Ruim;Regular;Regular;Bom;Péssimo;Regular;Ruim;Calçamento de Ruas;Jorge do Cachorro Quente;Poderia votar;Votaria com certeza;Poderia votar;Depende do candidato
224;Zona Rural;Riquinho ;Sim;Povoado Jirau;Masculino;34 a 44 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Não sabe/Não respondeu;;Regular;Aprova;Regular;Boa;Saneamento Básico;Ótimo;Ótimo;Ruim;Regular;Bom;Regular;Bom;Bom;Péssimo;Bom;Bom;Recuperar e construir escolas;Osvaldo;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
225;Zona Rural;Riquinho ;Sim;Sítio Lagoinha;Masculino;34 a 44 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Boa;Aprova;Boa;Ótima;Segurança;Bom;Bom;Péssimo;Bom;Regular;Bom;Regular;Bom;Regular;Bom;Ruim;Recuperação e mais Praças;Não sabe/Não respondeu;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
226;Zona Rural;Riquinho ;Sim;Sítio Lagoinha;Feminino;34 a 44 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Ruim;Desaprova;Ruim;Regular;Abastecimento de Água;Bom;Ótimo;Regular;Regular;Regular;Bom;Bom;Bom;Péssimo;Bom;Péssimo;Melhorias e novos postos de saúde;Cláudio de Jirau;Poderia votar;Votaria com certeza;Poderia votar;Depende do candidato
227;Zona Rural;Riquinho ;Sim;Sítio Salgadinho;Masculino;25 a 34 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Pedro Pilota;;Boa;Aprova;Regular;Boa;Estradas/Calçamento/Asfalto;Bom;Ótimo;Péssimo;Regular;Ruim;Bom;Bom;Regular;Péssimo;Ruim;Regular;Investir mais em segurança;Lula do Doce;Poderia votar;Poderia votar;Votaria com certeza;Depende do candidato
228;Zona Rural;Riquinho ;Sim;Sítio Salgadinho;Feminino;25 a 34 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Rogéria Martins;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Regular;Boa;Saúde;Regular;Bom;Regular;Bom;Regular;Bom;Bom;Bom;Regular;Bom;Regular;Melhorias e novos postos de saúde;Cláudio de Jirau;Poderia votar;Votaria com certeza;Poderia votar;Sim, votaria
230;Zona Rural;Riquinho ;Sim;Sítio Salgadinho;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Péssima;Desaprova;Péssima;Ruim;Abastecimento de Água;Péssimo;Bom;Péssimo;Bom;Regular;Bom;Bom;Bom;Péssimo;Ruim;Péssimo;Melhorias e novos postos de saúde;Cláudio de Jirau;Poderia votar;Votaria com certeza;Poderia votar;Depende do candidato
231;Zona Rural;Arthur;Sim;Sítio Salgadinho;Masculino;25 a 34 anos;Até o ensino médio;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Ótima;Saúde;Péssimo;Bom;Bom;Ótimo;Regular;Ótimo;Bom;Regular;Bom;Bom;Bom;Melhorias e novos postos de saúde;Nenhum;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
232;Zona Rural;Arthur;Sim;Sítio Salgadinho;Masculino;25 a 34 anos;Até o ensino médio;Prefere não responder;Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Boa;Aprova;Ótima;Não sabe/Não respondeu;Saúde;Péssimo;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Melhorias e novos postos de saúde;Jorge do Cachorro Quente;Poderia votar;Poderia votar;Poderia votar;Não votaria
233;Zona Rural;Arthur;Sim;Sítio Salgadinho;Masculino;25 a 34 anos;Até o ensino médio;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Boa;Segurança;Bom;Bom;Péssimo;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Investir mais em segurança;Nenhum;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
234;Zona Rural;Arthur;Sim;Sítio Salgadinho;Feminino;34 a 44 anos;Até a faculdade ou mais;Prefere não responder;Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Ótima;Aprova;Boa;Boa;Saúde;Péssimo;Bom;Bom;Bom;Bom;Bom;Regular;Regular;Regular;Regular;Regular;Melhorias e novos postos de saúde;Jorge do Cachorro Quente;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
238;Zona Urbana;Manuela ;Sim;Centro;Feminino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Pedro Pilota;;Regular;Desaprova;Boa;Ótima;Transporte Escolar;Ótimo;Ruim;Péssimo;Ruim;Ruim;Bom;Ruim;Ruim;Ruim;Ruim;Ruim;Calçamento de Ruas;Lula do Doce;Poderia votar;Não votaria de jeito nenhum;Poderia votar;Não votaria
251;Zona Urbana;Paula;Sim;Centro;Masculino;34 a 44 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Boa;Aprova;Ruim;Ruim;Saúde;Péssimo;Bom;Regular;Regular;Regular;Regular;Não sabe/Não respondeu;Ruim;Péssimo;Não sabe/Não respondeu;Ruim;Melhorias no Hospital;Nenhum;Poderia votar;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
255;Zona Urbana;Paula;Sim;Centro;Feminino;16 a 24 anos;Até o ensino médio;Prefere não responder;Não;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;;Regular;Desaprova;Boa;Boa;Educação;Bom;Bom;Regular;Regular;Ruim;Regular;Bom;Regular;Ruim;Bom;Péssimo;Calçamento de Ruas;Nenhum;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu
256;Zona Urbana;Paula;Sim;Centro;Feminino;45 a 59 anos;Analfabeto/Lê e Escreve;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Ruim;Regular;Abastecimento de Água;Bom;Bom;Bom;Bom;Regular;Bom;Bom;Bom;Bom;Bom;Péssimo;Abastecimento de Água;Não sabe/Não respondeu;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
259;Zona Urbana;Manuela ;Sim;Centro;Masculino;34 a 44 anos;Até o ensino médio;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Regular;Aprova;Péssima;Péssima;Geração de Emprego e Renda;Bom;Bom;Bom;Ruim;Ruim;Bom;Ruim;Bom;Ruim;Ruim;Regular;Estrutura da cidade;Nenhum;Poderia votar;Votaria com certeza;Não votaria de jeito nenhum;Depende do candidato
262;Zona Urbana;Paula;Sim;Centro;Feminino;45 a 59 anos;Até o ensino médio;Prefere não responder;Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Regular;Boa;Saúde;Péssimo;Regular;Regular;Regular;Péssimo;Regular;Bom;Regular;Ruim;Péssimo;Bom;Drenagem do Canal;Marcelo Pilota;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
263;Zona Urbana;Manuela ;Sim;Centro;Feminino;45 a 59 anos;Até a faculdade ou mais;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Regular;Boa;Estradas/Calçamento/Asfalto;Regular;Bom;Bom;Regular;Péssimo;Bom;Regular;Regular;Ruim;Regular;Bom;Calçamento de Ruas;Jessé;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
268;Zona Urbana;Wenia ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino médio;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Boa;Boa;Não sabe/Não respondeu;Ótimo;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Não sabe/Não respondeu;Não sabe/Não respondeu;Poderia votar;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
270;Zona Urbana;Wenia ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino médio;Prefere não responder;Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Rogéria Martins;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Regular;Ótima;Administração;Ótimo;Ótimo;Ótimo;Ótimo;Péssimo;Péssimo;Péssimo;Ruim;Péssimo;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Jessé;Votaria com certeza;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
276;Zona Rural;Andrynnes ;Sim;Sítio Salgado;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Boa;Ótima;Abastecimento de Água;Bom;Bom;Regular;Bom;Ruim;Bom;Bom;Bom;Bom;Regular;Péssimo;Manutenção das Estradas;Essio Tenório;Não votaria de jeito nenhum;Poderia votar;Poderia votar;Depende do candidato
277;Zona Rural;Andrynnes ;Sim;Sítio Salgado;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Boa;Estradas/Calçamento/Asfalto;Ruim;Regular;Ruim;Bom;Péssimo;Bom;Regular;Bom;Regular;Regular;Bom;Manutenção das Estradas;Essio Tenório;Não votaria de jeito nenhum;Poderia votar;Poderia votar;Depende do candidato
278;Zona Rural;Andrynnes ;Sim;Sítio Salgado;Masculino;60 anos ou mais;Analfabeto/Lê e Escreve;Prefere não responder;Não;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;;Boa;Aprova;Regular;Boa;Educação;Bom;Ruim;Regular;Regular;Ruim;Bom;Bom;Ruim;Regular;Regular;Bom;Recuperar e construir escolas;Essio Tenório;Não votaria de jeito nenhum;Poderia votar;Poderia votar;Depende do candidato
279;Zona Rural;Andrynnes ;Sim;Sítio Salgado;Feminino;34 a 44 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Boa;Ótima;Nenhum;Bom;Bom;Bom;Bom;Bom;Ótimo;Bom;Bom;Bom;Bom;Bom;Não sabe/Não respondeu;Nenhum;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
282;Zona Urbana;agatha ;Sim;Centro;Masculino;16 a 24 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Péssima;Desaprova;Não sabe/Não respondeu;Ótima;Não sabe/Não respondeu;Regular;Bom;Regular;Regular;Regular;Regular;Regular;Regular;Regular;Bom;Bom;Não sabe/Não respondeu;Não sabe/Não respondeu;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Votaria com certeza;Não votaria
283;Zona Urbana;agatha ;Sim;Centro;Feminino;60 anos ou mais;Analfabeto/Lê e Escreve;Prefere não responder;Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Péssima;Desaprova;Regular;Ótima;Geração de Emprego e Renda;Ruim;Ruim;Ruim;Ruim;Ruim;Regular;Ruim;Regular;Regular;Ruim;Ruim;Melhorar assistência social;Nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
284;Zona Urbana;agatha ;Sim;Centro;Feminino;60 anos ou mais;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;;Boa;Aprova;Boa;Regular;Não sabe/Não respondeu;Bom;Bom;Ruim;Bom;Bom;Bom;Bom;Ótimo;Bom;Bom;Bom;Atrair empresas e gerar empregos;Jessé;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Depende do candidato
285;Zona Urbana;agatha ;Sim;Centro;Feminino;34 a 44 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Péssima;Desaprova;Péssima;Péssima;Saúde;Péssimo;Não sabe/Não respondeu;Péssimo;Ruim;Péssimo;Péssimo;Péssimo;Péssimo;Péssimo;Péssimo;Péssimo;Melhorias no Hospital;Jorge do Cachorro Quente;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não votaria
287;Zona Urbana;agatha ;Sim;Centro;Masculino;45 a 59 anos;Até a faculdade ou mais;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Péssima;Desaprova;Regular;Péssima;Saúde;Péssimo;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Drenagem do Canal;Nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
288;Zona Urbana;agatha ;Sim;Centro;Masculino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Péssima;Desaprova;Péssima;Péssima;Infraestrutura;Péssimo;Bom;Ruim;Bom;Regular;Bom;Bom;Bom;Bom;Não sabe/Não respondeu;Bom;Calçamento de Ruas;Jessé;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
289;Zona Rural;Arthur;Sim;Sítio Salgado;Masculino;45 a 59 anos;Até o ensino médio;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Ótima;Saúde;Péssimo;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Bom;Regular;Regular;Melhorias e novos postos de saúde;Nenhum;Poderia votar;Votaria com certeza;Poderia votar;Depende do candidato
290;Zona Rural;Arthur;Sim;Sítio Salgado;Feminino;34 a 44 anos;Até a faculdade ou mais;Prefere não responder;Não;Não sabe/Não respondeu;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Ótima;Aprova;Boa;Boa;Segurança;Bom;Bom;Péssimo;Bom;Bom;Regular;Regular;Bom;Bom;Bom;Regular;Investir mais em segurança;Jorge do Cachorro Quente;Poderia votar;Poderia votar;Poderia votar;Sim, votaria
291;Zona Rural;Arthur;Sim;Sítio Salgado;Masculino;34 a 44 anos;Até o ensino médio;Prefere não responder;Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Ótima;Aprova;Boa;Boa;Saúde;Péssimo;Bom;Bom;Ótimo;Regular;Ótimo;Bom;Ótimo;Regular;Regular;Bom;Melhorias e novos postos de saúde;Nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Votaria com certeza;Sim, votaria
